project_id,mode,route_id,direction_id,stop_id_from,stop_id_to,stop_name_from,stop_name_to,from_to,min_since_prev,delta,headway_min,frequency
0,trenes,1001,0,1002,1001,new_line_2,new_line_1,1002_1001,2,2,5,12
0,trenes,1001,1,1001,1002,new_line_1,new_line_2,1001_1002,2,2,5,12
1,trenes,5,0,332,1000,Retiro,Facultad de Derecho,332_1000,5,5,12,5
1,trenes,5,0,1000,229,Facultad de Derecho,L. De La Torre,1000_229,3,8,12,5
1,trenes,5,0,229,34,L. De La Torre,Belgrano C.,229_34,2,10,12,5
1,trenes,5,0,34,287,Belgrano C.,Nuñez,34_287,3,13,12,5
1,trenes,5,0,287,337,Nuñez,Rivadavia,287_337,3,16,12,5
1,trenes,5,0,337,408,Rivadavia,V. Lopez,337_408,3,19,12,5
1,trenes,5,0,408,291,V. Lopez,Olivos,408_291,3,22,12,5
1,trenes,5,0,291,212,Olivos,La Lucila,291_212,2,24,12,5
1,trenes,5,0,212,262,La Lucila,Martinez,212_262,2,26,12,5
1,trenes,5,0,262,5,Martinez,Acassuso,262_5,2,28,12,5
1,trenes,5,0,5,357,Acassuso,San Isidro,5_357,3,31,12,5
1,trenes,5,0,357,32,San Isidro,Beccar,357_32,3,34,12,5
1,trenes,5,0,32,409,Beccar,Victoria,32_409,3,37,12,5
1,trenes,5,0,409,428,Victoria,Virreyes,409_428,2,39,12,5
1,trenes,5,0,428,355,Virreyes,San Fernando,428_355,2,41,12,5
1,trenes,5,0,355,65,San Fernando,Carupá,355_65,2,43,12,5
1,trenes,5,0,65,389,Carupá,Tigre,65_389,5,48,12,5
1,trenes,5,1,389,65,Tigre,Carupá,389_65,4,4,12,5
1,trenes,5,1,65,355,Carupá,San Fernando,65_355,2,6,12,5
1,trenes,5,1,355,428,San Fernando,Virreyes,355_428,2,8,12,5
1,trenes,5,1,428,409,Virreyes,Victoria,428_409,3,11,12,5
1,trenes,5,1,409,32,Victoria,Beccar,409_32,3,14,12,5
1,trenes,5,1,32,357,Beccar,San Isidro,32_357,3,17,12,5
1,trenes,5,1,357,5,San Isidro,Acassuso,357_5,2,19,12,5
1,trenes,5,1,5,262,Acassuso,Martinez,5_262,2,21,12,5
1,trenes,5,1,262,212,Martinez,La Lucila,262_212,2,23,12,5
1,trenes,5,1,212,291,La Lucila,Olivos,212_291,3,26,12,5
1,trenes,5,1,291,408,Olivos,V. Lopez,291_408,3,29,12,5
1,trenes,5,1,408,337,V. Lopez,Rivadavia,408_337,2,31,12,5
1,trenes,5,1,337,287,Rivadavia,Nuñez,337_287,3,34,12,5
1,trenes,5,1,287,34,Nuñez,Belgrano C.,287_34,3,37,12,5
1,trenes,5,1,34,229,Belgrano C.,L. De La Torre,34_229,2,39,12,5
1,trenes,5,1,229,1000,L. De La Torre,Facultad de Derecho,229_1000,3,42,12,5
1,trenes,5,1,1000,332,Facultad de Derecho,Retiro,1000_332,6,48,12,5
1,trenes,33,0,332,1000,Retiro,Facultad de Derecho,332_1000,5,5,30,2
1,trenes,33,0,1000,229,Facultad de Derecho,L. De La Torre,1000_229,3,8,30,2
1,trenes,33,0,229,34,L. De La Torre,Belgrano C.,229_34,2,10,30,2
1,trenes,33,0,34,287,Belgrano C.,Nuñez,34_287,3,13,30,2
